G31322,6128,2225,1809
G31323,1158,486,366
G31324,1714,812,329
G31326,763,283,206
G31327,2885,967,962
G31333,2081,748,697
G31336,1235,604,254
G31337,1598,543,560
G31338,893,278,329
G31343,1585,542,491
G31344,1353,536,389
G31346,1277,483,443
G31347,701,253,236
G31351,1215,356,461
G31355,1544,609,502
G31356,787,318,266
G31401,448,140,120
G31402,1054,417,260
G31403,2926,1119,794
G31404,1234,412,383
G31405,816,335,204
G31406,683,338,117
G31407,2085,665,673
G31408,415,174,102
G31409,632,269,161
G31411,1625,552,395
G31412,3141,1185,945
G31413,2547,876,764
G31414,1603,627,387
G31502,975,376,242
G31503,1517,633,343
G31504,970,414,273
G31505,1963,904,413
G31506,474,218,85
G31507,1929,874,411
G31508,847,340,246
G31509,1190,484,296
G31511,1392,492,403
G31513,1454,619,313
G31514,2064,792,546
G31515,845,392,233
G31516,817,279,253
G31517,1199,375,365
G31519,1109,427,271
G31521,2545,868,824
G31522,1322,518,304
G31523,711,298,202
G31524,4055,1307,1280
G31525,1362,622,253
G31527,1534,600,380
G31528,843,314,247
G31531,1006,395,254
G31533,3030,931,779
G31534,2017,872,391
G31535,885,387,183
G31537,1823,813,467
G31539,2501,1042,577
G31541,888,298,194
G31542,844,277,268
G31543,785,311,218
G31546,895,336,180
G31549,4306,1420,1232
G31551,1267,457,397
G31552,1625,648,357
G31553,1414,473,389
G31601,627,266,115
G31603,1432,666,330
G31604,1359,601,315
G31605,1078,400,371
G31606,872,422,184
G31608,391,121,160
G31609,689,232,213
G31611,731,330,153
G31612,3036,1246,711
G31613,949,371,220
G31614,1803,753,482
G31615,1131,461,348
G31616,957,384,226
G31617,1325,580,314
G31621,783,356,180
G31622,945,388,270
G31627,1170,386,383
G31628,1305,451,435
G31629,5109,2022,1384
G31633,9125,3246,2595
G31634,1161,526,228
G31636,724,276,201
G31642,944,345,345
G31644,4403,1809,1024
G31645,921,379,165
G31646,666,336,109
G31649,1664,695,384
G31651,2083,742,724
G31652,474,212,99
G31653,1284,572,275
G31654,1729,784,415
G31655,5387,1595,2149
G31658,494,229,94
G31701,1069,330,372
G31702,2322,655,848
G31703,4662,1246,1920
G31704,8604,2274,3466
G31706,1261,333,584
G31707,1683,393,754
G31709,2909,797,1188
G31711,1250,442,440
G31712,2948,712,1215
G31713,2547,772,1043
G31714,915,208,454
G31715,2157,553,829
G31716,6522,1360,2691
G31717,15036,3372,5938
G31718,2256,783,809
G31719,11698,2811,4737
G31723,5027,1676,1440
G31725,7127,2044,2586
G31726,2098,721,787
G31801,277,140,60
G31802,1560,561,423
G31803,1569,720,326
G31804,1277,506,376
G31805,283,95,60
G31806,295,93,97
G31807,766,304,212
G31808,1586,637,430
G31809,874,427,198
G31811,1770,711,525
G31812,1119,449,316
G31813,1283,473,345
G31814,1947,877,458
G31815,515,225,92
G31817,1382,562,398
G31818,8957,2999,2556
G31821,1709,602,475
G31823,2120,838,542
G31825,366,160,84
G31826,2212,850,563
G31827,236,89,75
G31829,2102,827,558
G31831,1523,624,403
G31832,1552,558,446
G31833,539,227,118
G31834,302,119,76
G31835,1477,641,397
G31836,529,221,100
G31837,1133,441,337
G31838,457,171,104
G31839,11483,4303,3306
G31841,457,235,75
G31842,143,75,30
G31843,1261,538,345
G31844,1355,545,427
G31845,772,312,233
G31846,1225,423,378
G31847,1307,449,450
G31848,1189,626,199
G31849,760,314,218
G31901,2230,807,619
G31902,1691,725,349
G31903,3975,1492,1219
G31904,971,391,248
G31905,3393,908,1271
G31906,1627,634,503
G31907,749,279,233
G31909,2106,887,558
G31911,878,391,243
G31912,5950,2111,1970
G31913,1229,530,319
G31915,1104,481,274
G31916,1765,710,512
G31917,1097,386,405
G31918,2597,940,706
G31919,1736,558,518
G31921,2323,707,840
G31922,1636,629,482
G31923,728,339,157
G31925,1205,417,424
G31926,6323,2025,1971
G31927,1238,406,328
G31928,1438,590,445
G31929,3655,1204,1276
G31932,1274,377,508
G31934,2828,1084,822
G31935,2038,793,552
